timestamp,step,turn,status,board,action
14:20:35.642596,17,white,MOVED,"[[1, 0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 1, 0, 1, 0, 0], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, -1, -1, -1, -1, -1], [1, -1, 1, 1, -1, 0, 1, 0], [1, 1, -1, -1, -1, 0, 0, 0], [1, 0, 1, -1, -1, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[7, 2]"

14:20:37.888983,18,black,MOVED,"[[1, 0, 1, 0, 0, 0, 0, 0], [-1, 1, 1, 1, 0, 1, 0, 0], [1, -1, 1, -1, 1, 1, 1, 1], [1, 1, -1, -1, -1, -1, -1, -1], [1, -1, 1, -1, -1, 0, 1, 0], [1, 1, -1, -1, -1, 0, 0, 0], [1, 0, 1, -1, -1, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[1, 0]"

14:20:37.894236,18,white,THINKING,"[[1, 0, 1, 0, 0, 0, 0, 0], [-1, 1, 1, 1, 0, 1, 0, 0], [1, -1, 1, -1, 1, 1, 1, 1], [1, 1, -1, -1, -1, -1, -1, -1], [1, -1, 1, -1, -1, 0, 1, 0], [1, 1, -1, -1, -1, 0, 0, 0], [1, 0, 1, -1, -1, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",

14:20:37.896154,18,white,MOVED,"[[1, 0, 1, 0, 0, 0, 0, 0], [-1, 1, 1, 1, 0, 1, 0, 0], [1, -1, 1, -1, 1, 1, 1, 1], [1, 1, -1, -1, -1, -1, -1, -1], [1, -1, 1, -1, -1, 0, 1, 0], [1, 1, -1, 1, -1, 0, 0, 0], [1, 0, 1, -1, 1, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0]]","[5, 7]"

14:20:40.139237,19,black,MOVED,"[[1, 0, 1, 0, 0, 0, 0, 0], [-1, 1, 1, 1, 0, 1, 0, 0], [-1, -1, 1, -1, 1, 1, 1, 1], [-1, 1, -1, -1, -1, -1, -1, -1], [-1, -1, 1, -1, -1, 0, 1, 0], [-1, 1, -1, 1, -1, 0, 0, 0], [-1, 0, 1, -1, 1, 1, 0, 0], [-1, 0, 0, 0, 0, 1, 0, 0]]","[7, 0]"

14:20:40.142029,19,white,THINKING,"[[1, 0, 1, 0, 0, 0, 0, 0], [-1, 1, 1, 1, 0, 1, 0, 0], [-1, -1, 1, -1, 1, 1, 1, 1], [-1, 1, -1, -1, -1, -1, -1, -1], [-1, -1, 1, -1, -1, 0, 1, 0], [-1, 1, -1, 1, -1, 0, 0, 0], [-1, 0, 1, -1, 1, 1, 0, 0], [-1, 0, 0, 0, 0, 1, 0, 0]]",
